student_id,student_name,semester,subject_code,subject_name,faculty_id,date,class_start_time,class_end_time,time_in,time_out,status,late_entry,is_exam_week,remarks
ST1411,Student_411,4,DS301,Data Science,F101,2025-04-18,09:00,10:00,09:00,10:00,1,0,0,On time
ST1496,Student_496,3,DL402,Deep Learning,F104,2025-06-25,09:00,10:00,09:01,10:00,1,1,1,Late
ST1470,Student_470,5,AI401,Artificial Intelligence,F103,2025-04-26,09:00,10:00,09:15,10:00,1,1,1,Late
ST1448,Student_448,3,DL402,Deep Learning,F104,2025-06-24,09:00,10:00,,,0,0,1,Absent
ST1123,Student_123,6,AI401,Artificial Intelligence,F103,2025-05-30,09:00,10:00,09:00,10:00,1,0,0,On time
ST1054,Student_54,4,AI401,Artificial Intelligence,F103,2025-07-03,09:00,10:00,09:00,10:00,1,0,0,On time
ST1317,Student_317,3,DS301,Data Science,F101,2025-03-10,09:00,10:00,09:00,10:00,1,0,0,On time
ST1030,Student_30,5,BD403,Big Data Analytics,F105,2025-01-09,09:00,10:00,09:00,10:00,1,0,0,On time
ST1486,Student_486,6,ML302,Machine Learning,F102,2025-02-26,09:00,10:00,09:10,10:00,1,1,0,Late
ST1026,Student_26,6,DS301,Data Science,F101,2025-01-29,09:00,10:00,09:00,10:00,1,0,0,On time
ST1322,Student_322,5,AI401,Artificial Intelligence,F103,2025-05-28,09:00,10:00,09:00,10:00,1,0,0,On time
ST1168,Student_168,6,DS301,Data Science,F101,2025-06-06,09:00,10:00,09:00,10:00,1,0,0,On time
ST1368,Student_368,4,AI401,Artificial Intelligence,F103,2025-08-23,09:00,10:00,,,0,0,1,Absent
ST1246,Student_246,3,DS301,Data Science,F101,2025-05-10,09:00,10:00,09:00,10:00,1,0,0,On time
ST1406,Student_406,4,DL402,Deep Learning,F104,2025-01-28,09:00,10:00,09:14,10:00,1,1,0,Late
ST1258,Student_258,5,BD403,Big Data Analytics,F105,2025-07-29,09:00,10:00,09:00,10:00,1,0,0,On time
ST1199,Student_199,5,ML302,Machine Learning,F102,2025-08-22,09:00,10:00,09:00,10:00,1,0,1,On time
ST1293,Student_293,5,DS301,Data Science,F101,2025-06-25,09:00,10:00,09:07,10:00,1,1,1,Late
ST1438,Student_438,4,DL402,Deep Learning,F104,2025-04-05,09:00,10:00,09:15,10:00,1,1,0,Late
ST1105,Student_105,4,BD403,Big Data Analytics,F105,2025-01-24,09:00,10:00,09:00,10:00,1,0,0,On time
ST1105,Student_105,4,ML302,Machine Learning,F102,2025-04-21,09:00,10:00,,,0,0,1,Absent
ST1152,Student_152,6,DS301,Data Science,F101,2025-06-30,09:00,10:00,09:00,10:00,1,0,0,On time
ST1301,Student_301,6,ML302,Machine Learning,F102,2025-04-07,09:00,10:00,09:11,10:00,1,1,0,Late
